DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,Label
91.929,22.72,68.435,5.724,2.813,5.724,68.738,1.004,-1.408,1
67.701,51.253,51.525,6.102,2.604,6.102,53.631,1.603,-1.399,0
119.799,31.916,86.839,53.598,2.638,3.545,225.071,1.88,1.41,0
136.928,44.496,93.015,50.246,3.028,3.613,129.392,0.513,1.217,1
125.846,9.603,88.983,38.213,2.978,2.54,118.09,1.469,1.338,0
161.363,23.433,116.904,74.543,2.409,0.763,242.867,0.315,-1.304,1
75.902,19.127,46.751,58.407,2.252,1.327,110.245,1.529,1.365,1
112.406,85.246,51.116,58.144,2.623,58.144,53.254,1.393,-1.407,0
91.535,18.315,65.413,38.701,2.013,44.163,182.574,0.699,-0.881,0
121.837,14.871,84.255,13.453,3.557,13.453,60.93,1.301,-1.414,1
150.179,18.344,107.08,38.905,2.644,16.316,159.002,0.87,1.392,1
105.223,91.491,84.212,11.286,2.531,11.286,94.469,2.21,-1.356,0
116.959,28.367,94.817,65.388,3.104,23.021,160.001,3.6,1.414,1
124.56,11.345,89.564,2.439,3.255,2.439,76.186,0.772,-1.406,1
122.227,49.914,81.139,45.01,2.626,30.664,198.918,1.232,1.406,1
112.406,75.903,101.523,0.605,3.009,0.605,53.684,1.669,-1.377,0
117.998,2.239,81.34,58.312,2.721,4.57,161.878,1.799,1.089,0
99.101,65.807,66.757,4.599,2.785,4.599,65.385,2.142,-1.296,0
56.262,1.527,30.581,114.149,1.093,41.309,156.051,1.384,1.069,1
155.39,49.902,111.162,0.643,3.052,0.643,109.488,1.178,-1.41,0
101.54,27.858,75.156,39.169,2.938,39.169,74.995,1.167,1.41,0
130.936,119.045,71.578,46.991,2.43,44.194,577.089,2.083,-0.232,1
102.164,16.091,72.028,37.716,2.445,0.475,112.813,1.023,1.395,0
108.894,10.59,75.912,59.502,2.336,6.629,139.767,1.499,0.514,1
112.406,103.565,42.302,47.733,1.443,47.733,64.296,1.222,-0.975,0
187.14,1.222,124.923,36.15,2.793,2.608,152.319,0.713,1.066,0
112.406,114.161,141.071,10.361,3.285,10.361,85.289,3.11,-1.323,0
222.708,81.472,180.581,61.75,3.134,21.216,243.786,0.767,-0.582,0
80.325,24.321,48.275,108.863,1.411,45.41,226.746,0.76,1.405,0
112.406,88.703,31.399,41.089,1.31,41.089,50.105,1.414,-0.808,0
160.764,101.138,137.777,26.197,2.999,26.197,115.748,2.277,-1.398,0
60.776,83.391,55.359,23.422,1.658,23.422,76.965,1.897,-1.244,0
70.785,57.932,56.339,21.419,2.275,21.419,66.818,2.179,-1.414,0
112.406,78.609,23.173,1.543,0.837,1.543,54.944,1.096,-1.412,0
249.581,80.318,202.353,47.242,3.112,2.378,175.645,1.408,-0.967,0
112.406,78.533,103.843,1.697,2.221,1.697,106.566,0.469,-1.339,0
124.426,102.729,63.508,117.994,1.851,49.81,285.886,0.882,0.545,0
97.43,64.288,87.171,2.544,2.501,2.544,85.137,1.068,-1.412,0
105.054,39.255,77.376,30.729,3.147,4.934,101.66,1.708,-1.414,0
100.053,55.543,71.127,27.804,3.113,32.397,109.841,0.926,-1.412,1
80.982,80.851,68.288,4.76,2.378,4.76,66.519,2.095,-1.303,0
111.73,45.184,77.682,24.526,2.783,24.526,70.071,1.331,0.988,0
126.032,47.531,92.118,22.382,3.358,25.266,124.747,1.231,-1.414,1
133.4,17.713,93.923,30.966,2.807,5.481,130.185,0.542,-1.414,0
143.583,20.075,84.147,119.785,1.926,18.912,195.106,0.707,1.336,1
71.999,61.653,69.06,1.212,2.588,1.212,51.701,1.44,-1.384,0
472.461,97.928,436.088,5.932,4.833,5.932,111.075,1.569,-1.397,0
87.128,30.954,57.885,42.708,3.023,68.499,265.778,1.022,1.412,1
114.445,12.769,83.185,65.84,2.373,29.933,133.064,1.965,1.295,1
87.968,8.091,58.495,36.09,2.515,3.031,94.199,1.043,1.293,0
156.435,20.407,117.639,20.741,3.472,20.741,78.048,1.268,-1.393,1
102.058,27.005,60.322,0.486,3.29,0.486,51.383,1.294,-1.402,1
62.516,0.102,45.461,191.465,0.834,24.895,335.377,4.5,1.002,0
87.156,5.143,64.583,25.38,2.928,25.38,65.373,0.792,-0.699,0
112.406,77.679,47.474,1.765,1.607,1.765,60.195,1.185,-1.401,0
99.727,27.533,69.111,5.609,3.119,5.609,66.318,1.149,1.411,1
112.406,79.815,47.581,1.101,1.582,1.101,58.774,1.189,-1.403,0
112.406,91.526,36.364,33.363,0.976,33.363,74.122,1.53,-0.622,0
154.902,62.676,75.634,64.313,2.689,64.313,83.185,2.175,1.414,0
112.406,65.671,37.395,26.744,1.301,26.744,60.588,0.95,-1.076,0
99.344,24.966,74.271,24.569,3.198,24.569,58.437,1.561,-1.399,0
81.887,11.336,58.584,56.099,1.97,0.4,120.782,1.133,1.353,0
124.386,83.681,66.751,4.836,3.092,4.836,71.221,2.516,-1.377,1
90.819,17.617,61.162,188.462,0.937,50.949,673.473,0.476,1.081,0
90.361,36.71,68.791,42.208,2.252,33.672,139.039,1.416,-0.263,0
112.406,174.811,156.343,109.466,2.425,30.735,232.601,4.592,-0.211,0
94.959,13.157,41.896,199.734,1.28,7.893,261.605,2.193,1.307,1
49.654,68.608,45.703,7.33,1.923,7.33,53.692,1.401,-1.372,0
151.683,7.938,86.598,140.689,1.905,46.16,194.112,0.971,0.767,0
112.406,83.442,53.32,4.115,1.827,4.115,63.405,1.495,-1.385,0
112.406,185.185,71.637,3.192,1.874,3.192,116.977,4.718,-1.201,0
111.817,15.422,63.754,46.769,3.241,2.462,105.401,0.928,-1.414,0
115.609,59.643,91.703,3.045,2.904,3.045,68.626,1.259,-1.395,0
81.295,12.697,57.454,51.376,2.134,1.761,114.24,1.517,1.339,0
78.509,44.911,62.93,66.795,1.491,32.394,116.72,1.226,-0.398,0
127.558,6.523,92.357,1.239,3.268,1.239,81.368,0.761,-1.409,1
92.708,40.39,68.638,34.492,2.542,1.144,94.096,1.547,0.695,0
122.404,25.087,90.934,0.125,3.062,0.125,87.58,1.019,-1.414,1
148.075,3.045,114.648,110.89,1.83,26.706,250.4,1.482,1.069,1
109.409,36.921,67.254,88.441,1.724,20.949,174.338,0.512,0.07,0
112.406,87.181,64.501,85.689,2.446,1.175,157.933,1.771,-1.391,0
120.65,14.569,73.291,166.951,1.48,1.622,290.124,1.788,1.176,1
123.731,1.323,83.16,41.216,3.079,3.723,115.848,1.43,1.114,0
94.171,8.743,63.929,20.4,3.186,20.4,51.676,1.109,1.386,0
134.735,88.739,86.881,2.664,2.857,2.664,87.25,2.028,-1.357,0
121.584,0.979,86.0,0.928,3.128,0.928,87.228,0.71,-1.383,1
96.096,41.678,74.523,33.26,2.14,3.049,108.134,0.61,-1.414,0
94.293,16.82,71.826,257.669,1.048,37.988,484.402,6.934,0.69,0
89.536,32.107,67.482,115.709,1.326,2.403,216.706,0.528,0.422,1
112.163,25.487,52.647,158.342,1.355,17.795,240.717,0.443,1.392,1
112.406,81.28,42.93,21.394,1.67,21.394,57.861,1.131,-1.381,0
207.371,81.457,167.376,40.742,3.441,1.987,119.255,1.3,-0.748,0
112.406,86.98,159.113,5.576,3.643,5.576,69.379,1.973,-1.298,0
115.309,46.099,75.936,42.348,2.767,5.136,122.511,0.693,1.396,1
83.67,12.662,52.745,71.079,1.827,64.729,242.186,0.676,1.321,0
115.634,14.283,82.09,316.2,0.746,16.482,567.684,0.428,1.414,1
84.357,33.484,65.607,1.414,2.789,1.414,66.024,1.098,-1.412,1
94.572,12.552,63.236,106.449,1.517,52.509,495.094,0.352,1.353,0
119.336,49.869,73.338,95.404,2.024,3.157,365.083,0.812,1.393,1
92.575,47.838,64.858,133.307,1.334,1.157,248.332,2.183,1.373,0
134.823,21.383,78.08,28.887,2.535,4.867,176.304,0.58,-0.834,1
117.646,8.231,74.499,109.844,1.995,9.093,170.915,1.648,1.227,1
107.192,64.953,62.376,34.879,2.563,1.42,94.843,1.43,0.384,1
92.254,60.596,69.51,2.617,2.933,2.617,66.859,1.929,-1.36,0
129.207,33.023,99.486,4.031,3.199,4.031,81.108,1.168,-1.414,0
113.039,3.957,51.686,368.332,0.616,10.603,541.197,0.416,1.125,1
64.055,111.906,58.47,48.201,1.303,6.349,151.175,1.848,-0.826,0
112.406,70.046,35.414,45.921,1.295,4.598,100.614,1.115,-0.842,0
112.406,91.949,21.816,18.572,0.704,18.572,60.889,1.213,-0.1,0
88.948,54.012,61.555,136.237,1.242,50.286,328.692,0.52,0.734,0
114.749,36.837,68.917,58.436,2.817,4.677,192.737,1.114,-0.967,1
131.87,4.392,61.577,72.451,2.875,27.145,118.984,0.978,0.729,1
112.406,104.625,71.203,3.042,2.254,3.042,79.612,2.628,-1.293,0
112.406,100.913,133.829,29.313,2.371,29.313,124.884,0.611,-1.413,0
101.972,24.582,76.47,31.95,2.341,0.692,114.999,1.158,-1.119,1
131.238,19.701,94.128,52.377,2.583,0.754,155.59,0.458,1.403,1
112.406,81.992,67.81,3.047,2.105,3.047,60.448,1.464,-1.373,0
93.779,3.174,55.733,238.651,1.04,66.873,521.161,2.96,0.921,0
92.032,27.378,55.968,86.172,1.931,20.048,143.456,1.248,1.277,1
179.142,71.625,113.981,1.924,3.21,1.924,102.482,1.502,-1.347,0
85.532,43.097,72.422,1.009,2.695,1.009,69.84,1.028,-1.414,0
121.758,5.336,85.443,63.296,2.441,35.26,228.577,1.179,0.788,0
146.705,2.662,105.487,48.401,2.571,26.711,171.911,0.556,0.49,1
104.75,84.165,83.031,1.068,2.669,1.068,80.825,1.913,-1.356,0
160.539,90.026,111.313,31.88,2.881,3.274,128.858,1.107,-1.263,0
113.436,5.07,79.178,51.633,2.134,23.461,202.084,0.694,0.737,1
92.273,143.928,89.547,103.351,1.351,1.252,343.235,2.929,-1.28,0
112.406,52.246,46.356,68.418,2.109,24.429,98.231,1.423,-1.058,0
152.888,67.858,121.854,15.286,3.424,15.286,72.15,1.157,-1.392,0
590.924,104.175,506.5,127.286,3.738,123.389,689.986,0.998,-0.339,0
144.62,46.502,100.01,44.942,2.879,1.539,145.972,0.589,1.121,1
70.29,35.025,50.589,82.112,1.539,14.359,254.812,2.337,0.934,0
112.406,77.378,57.81,1.04,1.949,1.04,69.028,1.386,-1.393,0
112.406,78.236,23.031,8.844,0.931,8.844,49.933,1.281,-1.358,0
85.719,57.813,65.076,23.434,2.875,23.434,63.436,0.995,-1.402,1
112.406,52.642,142.134,20.725,3.961,20.725,49.236,1.334,-1.353,0
105.56,75.41,87.218,94.592,1.503,24.513,218.309,0.7,-0.223,1
111.201,64.468,89.4,3.298,2.847,3.298,77.063,1.375,-1.402,0
105.609,56.122,73.915,23.641,3.08,12.641,90.302,0.983,-1.357,0
133.306,55.326,90.924,110.072,1.872,24.93,217.439,0.841,1.339,1
168.53,58.941,120.345,19.693,3.567,19.693,68.94,2.437,-1.025,0
120.701,44.222,60.464,163.255,1.524,1.342,727.506,0.388,1.39,1
115.453,59.401,76.989,1.803,3.016,1.803,68.525,1.688,-1.351,1
122.257,33.989,96.194,14.311,3.072,14.311,88.903,1.305,-1.414,0
112.406,87.329,72.519,55.065,3.166,27.757,105.986,1.898,-1.414,0
143.041,53.229,86.214,23.969,3.205,23.969,63.485,2.023,1.171,1
115.673,46.916,80.127,13.266,3.383,47.255,93.791,1.308,-1.412,0
131.316,16.309,94.326,184.194,1.669,17.256,320.502,3.526,0.801,1
112.565,9.342,81.774,59.468,2.253,13.321,138.301,1.246,0.521,1
108.209,43.146,79.075,28.637,2.902,34.917,143.258,2.226,-1.413,0
82.626,79.342,62.04,3.064,2.596,3.064,70.388,2.472,-1.327,0
116.331,58.687,84.333,47.922,2.667,47.922,89.546,0.492,-1.393,1
89.142,78.682,69.624,10.051,2.683,10.051,74.921,2.668,-1.322,0
125.909,10.077,77.045,188.508,2.183,4.589,302.297,4.544,0.863,1
67.989,60.275,44.626,55.566,1.788,5.084,113.261,1.83,0.757,0
108.689,29.514,56.539,164.199,1.28,18.105,245.808,0.438,1.41,0
84.16,12.61,61.435,4.197,2.9,4.197,61.178,0.95,-1.405,1
91.301,32.616,67.366,21.176,2.687,26.932,105.06,1.719,-1.104,1
104.51,0.646,74.485,23.226,2.719,23.226,75.922,0.957,1.061,0
130.393,70.616,100.314,1.498,2.806,1.498,101.368,1.389,-1.393,0
171.194,52.822,114.765,178.917,1.728,5.659,332.442,1.292,0.053,0
109.536,1.93,70.084,38.524,3.135,0.376,94.963,1.482,1.142,0
115.397,41.631,92.419,269.703,0.836,6.836,501.183,2.021,0.839,1
99.53,17.906,53.228,136.161,1.362,0.422,319.092,0.713,1.369,1
108.396,84.341,72.258,20.036,2.438,20.036,79.028,1.978,-0.923,0
66.305,39.559,43.995,66.993,1.597,25.513,101.539,1.075,0.982,0
112.406,63.056,73.941,78.615,1.824,29.662,143.9,1.058,-0.443,0
125.701,77.478,93.653,44.538,2.327,24.51,146.225,1.73,0.206,1
103.345,68.481,80.879,100.259,1.528,2.108,218.773,0.613,-0.058,0
182.858,91.734,103.599,44.78,3.434,44.78,78.419,2.542,1.403,0
148.357,2.637,99.888,4.528,3.114,4.528,98.905,0.637,-1.214,1
100.902,27.522,75.443,22.122,2.88,22.122,77.251,0.544,-1.414,0
110.932,73.481,76.667,1.901,3.036,1.901,77.763,2.011,-1.369,0
127.926,9.769,93.841,140.388,1.508,12.398,271.308,1.486,0.826,1
128.684,12.024,50.372,177.738,2.012,4.432,247.349,1.625,1.151,1
131.3,19.979,71.923,74.685,2.343,3.527,149.349,0.903,0.034,0
153.83,19.374,112.751,132.402,2.455,7.149,285.308,3.941,1.273,1
141.5,32.236,111.771,142.752,1.51,47.289,344.016,1.518,1.414,1
79.978,36.363,42.386,132.947,1.253,31.517,199.374,0.73,1.221,0
88.805,53.265,67.273,21.901,2.398,74.319,134.316,0.845,-1.345,1
133.97,68.863,81.127,12.288,2.887,12.288,77.552,1.835,-0.85,0
106.658,96.691,82.375,69.324,1.93,25.709,294.527,2.634,-0.105,0
144.304,7.929,100.269,33.332,2.788,28.002,155.431,0.873,1.328,1
102.078,7.381,67.972,33.161,2.61,0.554,99.514,0.78,1.29,0
141.118,4.616,56.896,147.791,1.989,20.05,204.933,0.887,0.916,1
79.69,6.071,48.578,137.671,1.27,19.582,253.41,2.161,0.898,0
109.703,76.163,90.731,2.499,3.09,2.499,64.687,2.194,-1.344,0
112.406,87.56,13.279,30.781,0.477,30.781,57.032,1.498,-0.462,0
77.323,74.913,65.737,31.991,1.774,0.168,111.194,1.676,-1.343,0
114.249,2.255,79.717,17.797,3.02,17.797,71.18,0.97,0.442,1
123.556,40.276,67.784,104.412,2.079,6.634,178.79,0.608,1.35,1
113.704,6.98,76.67,49.926,2.569,25.758,131.318,1.398,1.235,1
170.232,50.612,139.037,17.543,3.24,17.543,91.678,1.367,-1.387,1
153.201,7.919,97.601,47.936,2.577,11.925,160.548,0.685,1.239,1
138.629,52.543,95.542,47.458,3.164,1.563,127.107,0.59,1.325,0
115.103,8.293,73.77,122.649,1.971,2.119,260.115,2.424,1.123,1
235.075,90.829,149.099,1.147,3.322,1.147,129.388,1.499,-1.332,0
244.949,106.682,136.87,48.572,3.094,2.117,185.871,3.126,1.006,0
118.371,52.62,64.415,153.454,1.393,2.596,310.036,1.53,1.394,1
88.889,29.522,63.264,1.734,2.547,1.734,67.092,0.668,-1.387,0
83.12,4.643,52.121,133.356,1.162,59.556,207.846,0.894,1.412,0
75.702,99.805,61.737,43.086,1.748,3.132,129.775,2.637,-0.631,0
39.768,74.542,32.419,106.029,0.743,28.776,177.54,2.26,-0.0,0
136.342,5.432,85.073,119.194,1.66,2.828,239.28,0.494,1.115,1
100.59,31.222,72.857,62.104,2.274,21.041,121.34,1.908,-0.635,0
132.318,80.089,108.154,21.809,2.955,21.809,71.538,2.216,-1.071,0
91.979,42.263,64.916,28.64,2.935,13.075,81.247,1.245,1.091,0
192.364,40.974,102.193,75.854,3.169,27.396,198.233,0.803,1.413,0
114.434,43.728,80.936,25.999,2.773,25.999,79.4,1.159,1.361,1
148.559,89.1,79.858,51.385,2.907,18.267,90.353,1.494,-0.436,0
141.591,6.937,102.481,94.034,2.468,32.434,241.275,2.658,1.211,1
82.918,73.15,68.482,96.594,1.319,3.481,196.661,1.814,-0.071,0
80.639,87.976,68.128,56.756,1.708,17.91,142.678,3.048,-1.41,0
148.51,32.372,114.315,67.163,2.634,23.155,176.514,2.098,-0.463,0
99.249,82.272,73.107,4.211,2.739,4.211,71.435,2.449,-1.34,0
91.356,45.218,60.108,39.137,2.865,6.747,106.972,0.76,1.409,0
50.474,79.489,36.115,77.29,1.455,2.064,299.536,1.251,0.112,0
130.83,60.619,89.833,36.854,3.233,3.613,123.987,0.773,-1.414,1
112.406,73.731,146.505,43.783,3.888,41.984,289.328,1.384,-1.243,0
102.584,4.652,78.662,26.443,2.693,26.443,72.202,1.223,1.352,1
102.493,13.385,65.314,42.965,2.573,42.965,59.027,0.816,1.358,0
244.562,88.395,117.427,148.353,2.428,2.156,241.995,1.689,1.124,0
126.508,15.101,87.456,1.941,2.991,1.941,84.443,0.625,-1.366,1
132.694,21.75,94.458,7.695,2.799,7.695,96.387,0.784,-1.367,1
96.256,58.787,83.031,5.787,2.973,5.787,54.521,1.411,-1.409,0
112.406,97.342,50.418,2.738,1.733,2.738,70.405,2.097,-1.329,0
110.791,79.1,82.381,34.795,3.124,34.795,82.345,1.097,1.414,0
121.486,74.168,100.569,93.972,1.782,5.71,210.031,2.215,-0.258,1
112.406,95.379,55.79,29.696,1.931,29.696,60.911,1.686,-0.994,0
244.562,24.968,124.101,226.206,2.006,79.213,385.815,0.525,1.064,0
130.903,59.641,79.522,42.784,2.78,4.982,121.87,0.956,1.397,1
99.838,33.734,75.024,9.601,2.477,9.601,78.603,0.73,-1.385,0
98.442,8.823,70.787,1.131,3.242,1.131,62.179,1.001,-1.414,1
119.215,17.992,86.498,33.259,2.92,33.259,86.496,1.312,-1.362,1
135.714,20.647,86.01,67.319,2.01,0.548,171.254,0.475,0.179,1
120.304,63.972,96.776,2.427,3.055,2.427,69.164,1.549,-1.372,0
74.392,10.047,50.036,90.503,1.522,22.814,215.873,1.399,1.407,0
102.69,67.33,76.314,131.523,1.336,3.236,253.934,1.897,0.856,1
233.117,82.711,188.145,22.887,3.844,38.482,248.339,2.083,-1.203,0
133.242,12.757,68.344,70.867,2.333,75.497,245.2,0.581,1.275,1
90.342,8.462,63.114,25.579,2.977,25.579,64.111,0.71,-1.291,1
105.65,20.055,78.06,3.25,3.254,3.25,60.25,0.957,-1.414,1
112.406,86.378,38.105,6.731,1.281,6.731,56.815,1.527,-0.085,0
69.054,33.197,55.407,25.528,2.433,25.528,59.192,1.915,-1.385,0
102.355,15.252,65.188,75.78,2.081,27.323,140.674,1.273,1.288,1
104.167,58.21,86.093,2.882,3.117,2.882,60.731,1.763,-1.378,0
57.191,78.44,53.939,19.452,1.718,19.452,57.013,1.407,-0.593,0
82.432,2.184,49.232,112.969,1.304,27.089,374.432,0.731,0.944,0
102.429,23.938,82.484,176.895,1.602,29.841,384.156,7.391,0.529,0
319.846,53.14,252.76,3.748,5.131,3.748,51.275,1.55,-1.35,0
92.683,3.404,66.604,46.428,2.094,22.339,134.395,0.953,0.74,1
74.946,54.207,61.255,27.2,1.779,27.2,75.806,0.971,-1.412,0
112.406,64.026,52.129,6.602,2.049,6.602,50.021,1.187,-1.413,0
136.845,105.291,117.555,35.114,2.865,35.114,99.642,3.691,-1.176,0
86.098,76.704,69.15,82.43,1.209,64.712,335.56,1.331,-1.215,0
170.506,20.77,130.35,42.626,3.467,25.197,91.148,1.923,-0.633,0
95.662,68.287,43.78,79.356,2.018,3.041,133.856,1.161,1.069,0
148.822,18.854,100.254,42.027,2.871,7.142,144.682,0.486,1.414,1
112.406,86.237,67.424,83.687,2.49,22.429,142.784,1.256,-1.4,0
112.406,70.428,43.353,183.001,0.665,22.546,409.397,0.522,0.048,0
36.119,70.849,32.584,46.843,0.867,27.993,111.957,1.244,-0.535,0
144.989,71.158,76.369,71.286,3.039,9.111,146.037,0.621,1.414,1
124.701,59.838,89.94,141.336,1.46,31.889,353.463,0.677,1.085,1
93.565,18.892,67.387,33.036,2.436,42.807,381.655,1.414,1.414,0
78.785,34.866,60.39,173.601,1.083,62.458,294.726,4.709,0.382,0
108.658,7.583,66.437,71.974,1.996,8.295,147.924,0.748,1.188,1
120.027,74.603,92.989,3.492,2.693,3.492,96.27,1.374,-1.386,0
81.093,44.751,60.526,25.442,2.989,25.442,58.502,0.938,-1.414,0
102.308,2.612,60.613,66.034,2.241,2.845,144.214,1.003,0.912,0
107.713,56.528,76.967,29.054,2.541,29.054,76.774,1.469,0.25,1
111.666,68.58,76.561,66.008,2.405,25.729,141.526,1.719,1.387,0
135.822,43.968,106.35,37.344,2.348,19.155,154.752,1.121,-1.378,1
112.406,129.864,20.188,28.768,0.493,13.329,121.349,2.603,-0.13,0
112.406,98.78,55.357,89.835,1.165,21.281,193.607,0.337,-0.873,0
88.874,0.448,61.345,87.213,1.803,24.328,138.262,1.93,1.011,0
124.655,12.161,91.221,1.715,3.89,1.715,51.888,1.069,1.414,1
68.116,38.831,53.65,58.64,1.517,3.716,127.034,1.567,-0.325,0
79.213,17.933,58.073,124.252,1.119,2.337,248.435,0.294,0.319,0
106.102,13.47,76.98,3.236,3.046,3.236,75.489,0.884,-1.41,0
149.848,82.928,104.533,3.913,3.062,3.913,84.864,1.995,-1.326,0
127.99,3.833,75.72,65.053,3.163,22.227,137.181,1.75,0.57,1
236.724,84.952,155.688,0.367,3.306,0.367,135.557,1.409,-1.396,0
93.131,49.597,72.933,34.678,2.909,2.235,121.154,3.105,-1.373,1
112.406,90.914,79.01,1.539,2.623,1.539,81.068,2.137,-1.317,0
